乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
驚き	名詞,一般,*,*,*,*,驚き,オドロキ,オドロキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見せ	動詞,自立,*,*,一段,連用形,見せる,ミセ,ミセ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
5	名詞,数,*,*,*,*,*
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
9	名詞,数,*,*,*,*,*
]、	名詞,サ変接続,*,*,*,*,*
イギリス	名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
『	記号,括弧開,*,*,*,*,『,『,『
テレ	名詞,固有名詞,人名,名,*,*,テレ,テレ,テレ
グラフ	名詞,一般,*,*,*,*,グラフ,グラフ,グラフ
』	記号,括弧閉,*,*,*,*,』,』,』
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ロシア	名詞,固有名詞,地域,国,*,*,ロシア,ロシア,ロシア
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
50	名詞,数,*,*,*,*,*
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
唯一	名詞,一般,*,*,*,*,唯一,ユイイツ,ユイイツ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
0	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
2019	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
1	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
5	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
負傷	名詞,サ変接続,*,*,*,*,負傷,フショウ,フショー
離脱	名詞,サ変接続,*,*,*,*,離脱,リダツ,リダツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
中島	名詞,固有名詞,人名,姓,*,*,中島,ナカジマ,ナカジマ
翔	名詞,固有名詞,人名,名,*,*,翔,ショウ,ショー
哉	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
代わり	動詞,自立,*,*,五段・ラ行,連用形,代わる,カワリ,カワリ
、	記号,読点,*,*,*,*,、,、,、
AFC	名詞,固有名詞,組織,*,*,*,*
アジア	名詞,固有名詞,地域,一般,*,*,アジア,アジア,アジア
カップ	名詞,一般,*,*,*,*,カップ,カップ,カップ
2019	名詞,数,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
メンバー	名詞,一般,*,*,*,*,メンバー,メンバー,メンバー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
追加	名詞,サ変接続,*,*,*,*,追加,ツイカ,ツイカ
召集	名詞,サ変接続,*,*,*,*,召集,ショウシュウ,ショーシュー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
背番号	名詞,一般,*,*,*,*,背番号,セバンゴウ,セバンゴー
10	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
背負う	動詞,自立,*,*,五段・ワ行促音便,基本形,背負う,セオウ,セオウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
1	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
その他	名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
国際	名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
公式	名詞,形容動詞語幹,*,*,*,*,公式,コウシキ,コーシキ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
攻撃	名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ
面	名詞,接尾,一般,*,*,*,面,メン,メン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
左	名詞,一般,*,*,*,*,左,ヒダリ,ヒダリ
サイド	名詞,一般,*,*,*,*,サイド,サイド,サイド
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
切り込み	動詞,自立,*,*,五段・マ行,連用形,切り込む,キリコミ,キリコミ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
45	名詞,数,*,*,*,*,*
度	名詞,接尾,助数詞,*,*,*,度,ド,ド
付近	名詞,一般,*,*,*,*,付近,フキン,フキン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
曲げ	動詞,自立,*,*,一段,連用形,曲げる,マゲ,マゲ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ミドルシュート	名詞,一般,*,*,*,*,ミドルシュート,ミドルシュート,ミドルシュート
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
得意	名詞,形容動詞語幹,*,*,*,*,得意,トクイ,トクイ
。	記号,句点,*,*,*,*,。,。,。
守備	名詞,サ変接続,*,*,*,*,守備,シュビ,シュビ
面	名詞,接尾,一般,*,*,*,面,メン,メン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
戦略	名詞,一般,*,*,*,*,戦略,センリャク,センリャク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
守備	名詞,サ変接続,*,*,*,*,守備,シュビ,シュビ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
得意	名詞,形容動詞語幹,*,*,*,*,得意,トクイ,トクイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
